Abatteur
Acrobate
Adepte d’une secte
Agent commercial
Agent des forces d’intervention
Agent immobilier
Agent secret
Alchimiste
Allumeur de réverbères
Alpiniste
Ambassadeur
Ambulancier
Anesthésiste-réanimateur
Ange
Antiquaire
Apiculteur
Apothicaire
Arbitre
Archéologue
Archer
Architecte
Architecte d’intérieur – décorateur
Arnaqueur
Artificier
Artilleur
Assassin
Assesseur
Astronaute
Astronome
Athlète
Attaché de presse
Aubergiste
Aumonier
Avocat
Baby-sitter
Banquier
Barbier
Barde
Barman
Batelier
Bébé
Bibliothécaire
Bijoutier
Blanchisseur
Bodybuilder
Bookmaker
Boucher
Bouffon
Boulanger
Bourreau
Boxeur
Braconnier
Braqueur
Brasseur
Bretteur
Brocanteur
Bucheron
Caissier
Cambrioleur
Cameraman
Camionneur
Campeur
Cannibale
Capitaine
Caravanier
Cardiologue
Carreleur
Cartographe
Cascadeur
Catcheur
Cavalier
Chamane
Chambellan
Chamelier
Chanteur
Chapelier
Charbonnier
Chasseur
Chasseur de loup-garou
Chasseur de prime
Chauffagiste
Chauffeur de bus
Chef d’orchestre
Chercheur d’or
Chevalier
Chimiste
Chocolatier
Chomeur
Chroniqueur
Circonciseur
Cireur de chaussures
Clerc
Client
Clown
Cocher
Coiffeur
Collecteur d’impôts
Collectionneur de papillon
Colporteur
Colporteur
Comédien
Commissaire de police
Concierge
Conducteur de diligence
Conducteur de train
Conseiller d’orientation
Conservateur de musée
Contrebandier
Contrôleur aérien
Contrôleur de train
Contrôleur technique automobile
Convoyeur de fonds
Cordonnier
Corsaire
Costumier
Coureur cycliste
Courtier d’assurance
Courtisan
Coutelier
Couturier
Cowboy
Croque-mort
Croupier
Croyant
CRS
Cuisinier
Cultivateur de champignon
Cycliste
Dame pipi
Danseur
Dealer
Défunt
Démarcheur
Déménageur
Démon
Dentiste
Dépanneur
Dératiseur
Dermatologue
Dessinateur
Détective
Détrousseur
Devin
Dictateur
Diététicien
Dieu
Diplomate
Directeur
Directeur d’école
Disquaire
Distillateur
Domestique
Domestique
Dompteur
Douanier
Dragon
Dresseur
Druide
Eboueur
Eclaireur
Ecrivain
Ecuyer
Educateur scolaire
Egoutier
Electricien
Elfe
Embaumeur
Empereur
Employé de la fourrière
Enchanteur
Enfant
Enfant de choeur
Épicier
Esclavagiste
Esclave
Espion
Esthéticien
Etudiant
Evêque
Exorciste
Explorateur
Extra-terrestre
Fakir
Fan
Fantôme
Farfadet
Fauconnier
Faussaire
Fée
Femme de chambre
Femme de ménage
Ferailleur
Fermier
Fleuriste
Forain
Forgeron
Fossoyeur
Fou
Franc-maçon
Fraudeur
Funambule
Galérien
Gangster
Garagiste
Garde
Garde du corps
Garde forestier
Garde-barrière
Gardien de parc
Gardien de phare
Gardien de prison
Gardien de sécurité
Gastro-entérologue
Géant
Geek
Génie (djinn)
Géomètre
Gitan
Gladiateur
Gnome
Golfeur
Gourou
Greffier
Grutier
Guérisseur
Guichetier de poste
Guide nature
Guide touristique
Gynécologue
Hacker
Hérault
Herboriste
Homme d’affaire
Homme des cavernes
Horloger
Horticulteur
Hotesse
Hôtesse de l’air
Huissier
Hypnotiseur
Illusionniste
Imam
Indien
Infirmier
Ingénieur
Ingénieur du son
Inspecteur des impôts
Inspecteur pour un guide culinaire
Installateur d’alarme
Inventeur
Ivrogne
Jardinier
Jockey
Joggeur
Jongleur
Joueur de base-ball
Joueur de football
Joueur de jeu-vidéo
Joueur de tennis
Journaliste
Judoka
Juge
Kamikaze
Kinésithérapeute
La Mort
Laitier
Légionnaire romain
Libraire
Livreur de pizza
Loup-garou
Maçon
Macro
Magicien
Magistrat
Maitre-nageur
Majordome
Manager
Maquilleur
Marabout
Marchand de glace
Marin
Marionnette
Marionnettiste
Mascotte
Masseur
Matelot
Médecin
Médecin légiste
Membre d’ONG
Mendiant
Menestrel
Menuisier
Mercenaire
Messager
Météorologue
Metteur en scène
Meunier
Militaire
Mime
Mineur
Ministre
Minotaure
Missionnaire
Moine
Moine copiste
Momie
Moniteur de ski
Monsieur Loyal
Montreur de curiosités
Mousquetaire
Moussaillon
Muezzin
Musicien
Mutant
Nageur
Nain
Naturiste
Navigateur
Nécromancien
Négociateur
Nettoyeur de vitre
Ninja
Nomade
Notaire
Opticien
Oracle
Orfèvre
Organiste
Orphelin
Otage
Ouvrier communal
Palefrenier
Pape
Parachutiste
Parfumeur
Passeur
Patient
Patissier
Patron d’un camping
Paysan
Pecheur
Peintre
Père Noël
Pharmacien
Philatéliste
Philosophe
Photographe
Physicien
Pianiste
Pilleur de tombes
Pilote de course
Pilote de ligne
Pirate
Pisciculteur
Pizzaiolo
Plombier
Plongeur
Poissonnier
Policier
Politicien
Pompier
Pompiste
Potier
Précepteur
Présentateur sportif
Président
Prêtre
Princesse
Prisonnier
Producteur
Professeur
Professeur de gym
Professeur de Yoga
Prophète
Prospecteur
Prostituée
Psychiatre
Psychologue
Puériculteur
Puisatier
Racketteur
Ramoneur
Randonneur
Receleur
Réceptioniste
Réceptionniste
Recruteur
Réfugié
Rentier
Réparateur d’ascenceur
