Abasourdi
Abattu
Absorbé
Accablé
Admiratif
Affamé
Affectueux
Affligé
Affolé
Agacé
Agité
Agressif
Ahuri
Aigri
Aimable
Aimant
Alarmé
Alerte
Allégé
Allègre
Amer
Amical
Amoureux
Amusé
Angoissé
Animé
Anxieux
Apaisé
Apathique
Apeuré
Assoiffé
Assouvi
Assuré
Attendri
Attentif
Atterré
Attirant
Attristé
Aventureux
Badin
Béat
Belliqueux
Bienveillant
Blasé
Blessé
Blindé
Bloqué
Bouillant
Bouleversé
Brillant
Cafardeux
Calin
Calme
Captivé
Caressant
Centré
Chagriné
Chaleureux
Charmé
Chaud
Choqué
Circonspect
Clair
Coincé
Comblé
Compatissant
Concentré
Concerné
Conciliant
Confiant
Confus
Conquérant
Consterné
Content
Contrarié
Cool
Coopératif
Coupable
Courageux
Courroucé
Craintif
Créatif
Crevé
Crispé
Culpabilisé
Curieux
Débordé
Déboussolé
Déchiré
Déconcerté
Déconnecté
Décontenancé
Décontracté
Découragé
Déçu
Défait
Dégouté
Délassé
Délivré
Démonté
Démoralisé
Démuni
Dépassé
Dépendant
Dépité
Déprimé
Dérangé
Dérouté
Désabusé
Désappointé
Désarmé
Désemparé
Désenchanté
Désespéré
Désolé
Désorienté
Déstabilisé
Détaché
Détendu
Déterminé
Distant
Douloureux
Doux
Dur
Dynamisé
Ebahi
Ebloui
Ebranlé
Ecoeuré
Effaré
Effarouché
Effondré
Effrayé
Egayé
Electrisé
Emballé
Embarassé
Embêté
Embrouillé
Emerveillé
Emoustillé
Emu
Enchanté
Encouragé
Energétisé
Enervé
Enflammé
Enjoué
Ennuyé
Enragé
Enthousiaste
Envieux
Epanoui
Epouvanté
Eprouvé
Epuisé
Ereinté
Essouflé
Etonné
Etourdi
Euphorique
Eveillé
Exalté
Exaspéré
Excédé
Excité
Expansif
Exubérant
Fâché
Faible
Fasciné
Fatigué
Ferme
Fier
Flegmatique
Fort
Fourbu
Fragile
Froid
Frustré
Furibond
Furieux
Gai
Galvanisé
Gêné
Grisé
Grognon
Guilleret
Haineux
Hardi
Hargneux
Hérissé
Hésitant
Heureux
Hilare
Honteux
Horrifié
Horripilé
Hostile
Humble
Impassible
Impatient
Imperméable
Imperturbable
Impliqué
Impuissant
Incertain
Incommodé
Incrédule
Indécis
Indifférent
Indigné
Indolent
Inerte
Inférieur
Inintéressé
Inquiet
Insatisfait
Insécurisé
Insensible
Insouciant
Inspiré
Instable
Intéressé
Intimidé
Intrépide
Intrigué
Irrité
Isolé
Jaloux
Joyeux
Jubilant
Laid
Las
Lassé
Léger
Léthargique
Libre
Lourd
Malheureux
Malicieux
Maussade
Mécontent
Méfiant
Mélancolique
Méprisant
Misérable
Mobilisé
Modeste
Monté
Morose
Motivé
Moulu
Navré
Nerveux
Nostalgique
Nourri
Optimiste
Outré
Ouvert
Paisible
Paniqué
Paralysé
Paresseux
Passionné
Patient
Peiné
Perdu
Perplexe
Perturbé
Pessimiste
Petillant
Philosophe
Piégé
Piteux
Préoccupé
Prévenant
Proche
Protégé
Prudent
Radieux
Radouci
Rafraichi
Ragaillardi
Ramolli
Rancunier
Rassasié
Rasséréné
Rassuré
Ravi
Ravigoté
Rayonnant
Réconforté
Reconnaissant
Régénéré
Regonflé
Réjoui
Relax
Remonté
Renfermé
Résigné
Responsable
Réticent
Revigoré
Révolté
Rompu
Satisfait
Saturé
Scandalisé
Sceptique
Secoué
Sécurisé
Séduisant
Sensibilisé
Sensible
Serein
Seul
Sidéré
Silencieux
Sinistre
Solitaire
Sombre
Soucieux
Souffrant
Soulagé
Soumis
Soupçonneux
Sournois
Stimulé
Stupéfait
Suffoqué
surexcité
Surpris
Taciturne
Tanné
Tendre
Tendu
Terrifié
Terrorisé
Têtu
Tiède
Timide
Tiraillé
Touché
Tourmenté
Tracassé
Tranquille
Transi
Tremblant
Triomphant
Triste
Troublé
Vexé
Vibrant
Vide
Vivant
Vivifié
Vulnérable
